id,price,log1_price,latitude,longitude,distance_to_city_center_km,neighbourhood_cleansed,property_type_clean,room_type,accommodates,bedrooms,bedrooms_missing,beds,beds_missing,bathroom_count,bathroom_privacy,bathroom_information_missing,has_license,amenity_count,has_wifi,has_kitchen,has_parking,has_washer,has_air_conditioning,has_workspace,has_balcony,has_dryer,has_elevator,has_smoke_alarm,allows_pets
1483012,43.0,3.784189633918261,48.18774,11.57882,5.605385204307026,Milbertshofen-Am Hart,rare_or_unusual,Private room,1,1.0,0,1.0,0,1.0,unspecified,0,0,7,1,1,0,1,0,0,0,1,1,0,0
1505430,45.0,3.828641396489095,48.21767,11.54281,9.249864653536932,Feldmoching-Hasenbergl,house_like,Private room,6,2.0,0,3.0,0,1.5,shared,0,0,21,1,1,1,0,0,0,0,0,0,1,0
1518352,250.0,5.5254529391317835,48.13336,11.60337,2.1202974380928814,Au-Haidhausen,apartment_like,Entire home/apt,2,1.0,0,1.0,0,1.0,unspecified,0,0,31,1,1,1,0,0,0,0,0,0,1,0
1518980,122.0,4.812184355372417,48.1279,11.60257,2.2726411366097308,Au-Haidhausen,apartment_like,Private room,2,1.0,0,1.0,0,1.0,unspecified,0,0,25,1,0,0,0,0,1,0,0,0,1,1
1524674,100.0,4.61512051684126,48.17485,11.60873,4.843289267155874,Schwabing-Freimann,apartment_like,Entire home/apt,1,1.0,0,1.0,0,1.0,unspecified,0,0,41,1,1,1,1,0,0,1,1,0,0,0
1534335,109.0,4.700480365792417,48.12815,11.50612,5.245772700710288,Laim,apartment_like,Entire home/apt,2,1.0,0,2.0,0,1.5,unspecified,0,0,42,1,1,1,1,0,1,0,1,0,1,0
1537237,85.0,4.454347296253507,48.11508,11.68651,8.608654460992,Tudering-Riem,apartment_like,Private room,4,1.0,0,1.0,0,1.5,unspecified,0,0,11,1,1,0,1,0,1,0,1,0,1,0
1553501,277.0,5.627621113690637,48.17526,11.58072,4.23023402116738,Schwabing-West,apartment_like,Entire home/apt,4,2.0,0,2.0,0,1.5,unspecified,0,0,58,1,1,1,1,0,1,1,1,1,1,0
1576125,38.0,3.6635616461296463,48.17912,11.46728,9.268599772880846,Allach-Untermenzing,house_like,Private room,2,1.0,0,2.0,0,1.5,unspecified,0,0,20,1,0,1,0,0,0,0,0,0,1,0
1582913,97.0,4.584967478670572,48.16187,11.57448,2.724094926510534,Schwabing-West,apartment_like,Entire home/apt,2,1.0,0,1.0,0,1.0,unspecified,0,0,28,1,1,1,1,0,0,0,0,0,1,0
1597701,155.0,5.049856007249537,48.1155,11.58079,2.4651363848404078,Obergiesing,apartment_like,Private room,2,1.0,0,1.0,0,1.0,shared,0,0,37,1,1,1,1,0,0,0,0,0,1,1
1601358,87.0,4.477336814478207,48.09884,11.53313,5.313174971634356,Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,apartment_like,Private room,2,1.0,0,1.0,0,1.0,shared,0,0,9,1,1,1,0,0,0,0,0,0,1,0
1626118,150.0,5.017279836814924,48.12906,11.57458,0.9273405926991906,Ludwigsvorstadt-Isarvorstadt,apartment_like,Private room,2,1.0,0,2.0,0,1.0,shared,0,0,37,1,1,0,1,0,1,0,0,1,1,0
1637127,127.0,4.852030263919617,48.18479,11.56438,5.335195633787913,Milbertshofen-Am Hart,apartment_like,Private room,2,1.0,0,2.0,0,1.0,unspecified,0,0,14,1,1,0,1,0,0,0,0,1,1,0
1639990,76.0,4.343805421853684,48.15024,11.63468,4.622146637529626,Bogenhausen,house_like,Private room,2,1.0,0,1.0,0,1.0,private,0,0,26,1,0,1,0,0,0,0,1,0,1,0
1642680,45.0,3.828641396489095,48.11606,11.55044,3.0104942311146257,Sendling,apartment_like,Private room,1,1.0,0,1.0,0,1.0,shared,0,0,14,1,1,0,1,0,0,0,0,0,0,0
1648891,850.0,6.7464121285733745,48.15344,11.5759,1.7861166233822554,Maxvorstadt,apartment_like,Private room,1,3.0,0,1.0,0,1.0,shared,0,0,5,1,1,0,0,0,0,0,0,1,0,0
1651743,220.0,5.3981627015177525,48.13204,11.57856,0.6373252751907763,Ludwigsvorstadt-Isarvorstadt,apartment_like,Entire home/apt,3,1.0,0,1.0,0,1.0,unspecified,0,0,23,0,1,0,1,0,0,1,0,1,1,0
1653116,143.0,4.969813299576001,48.16028,11.56228,2.7271201472696216,Schwabing-West,apartment_like,Entire home/apt,2,1.0,0,1.0,0,1.0,unspecified,0,0,23,1,1,0,0,0,1,0,0,1,1,0
1654425,150.0,5.017279836814924,48.10398,11.57862,3.721404493049903,Untergiesing-Harlaching,apartment_like,Entire home/apt,2,0.0,0,1.0,0,1.0,unspecified,0,0,39,1,1,1,0,0,1,0,0,0,1,0
1666171,355.0,5.87493073085203,48.13234,11.54078,2.632437792831766,Schwanthalerhöhe,apartment_like,Entire home/apt,2,2.0,0,1.0,0,1.0,unspecified,0,0,25,1,1,1,1,0,0,1,0,0,1,0
1666610,69.0,4.248495242049359,48.21806,11.54237,9.30027379889784,Feldmoching-Hasenbergl,house_like,Private room,6,3.0,0,1.0,0,1.5,shared,0,0,39,1,1,1,0,0,1,1,0,0,1,0
1671501,120.0,4.795790545596741,48.1287,11.65576,6.038331805254559,Berg am Laim,apartment_like,Private room,2,1.0,0,1.0,0,1.0,private,0,0,61,1,1,1,1,0,0,1,1,1,1,0
1674377,120.0,4.795790545596741,48.11646,11.68853,8.709995147659974,Tudering-Riem,house_like,Private room,2,1.0,0,1.0,0,1.0,private,0,0,28,1,0,1,1,0,0,0,0,0,0,0
1678184,81.0,4.406719247264253,48.07984,11.6646,9.206472751499525,Ramersdorf-Perlach,apartment_like,Private room,2,1.0,0,1.0,0,1.0,private,0,0,17,1,1,1,0,0,0,0,0,0,0,1
1680894,190.0,5.25227342804663,48.11518,11.56849,2.5218482430013447,Untergiesing-Harlaching,apartment_like,Entire home/apt,2,0.0,0,1.0,0,1.0,unspecified,0,0,35,1,1,1,0,0,1,1,0,1,1,1
1682832,154.0,5.043425116919247,48.13672637939453,11.55678367614746,1.386318614483703,Ludwigsvorstadt-Isarvorstadt,apartment_like,Private room,4,1.0,0,2.0,0,1.0,shared,0,0,22,1,0,0,1,0,1,1,0,0,1,0
1711536,80.0,4.394449154672439,48.20468,11.59673,7.648147807813069,Schwabing-Freimann,house_like,Private room,7,1.0,0,2.0,0,1.0,shared,0,0,23,1,0,1,0,0,1,0,0,0,1,0
1734262,120.0,4.795790545596741,48.17559,11.58304,4.285996108562742,Schwabing-Freimann,apartment_like,Entire home/apt,2,1.0,0,1.0,0,1.0,unspecified,0,0,42,1,1,1,1,0,0,1,1,1,1,0
1758254,684.0,6.529418838262226,48.17183,11.60026,4.250162620856257,Schwabing-Freimann,apartment_like,Entire home/apt,2,1.0,0,1.0,0,1.5,unspecified,0,0,51,1,1,1,1,0,1,1,0,0,1,0
1780894,64.0,4.174387269895637,48.13039,11.56959,0.890276513855857,Ludwigsvorstadt-Isarvorstadt,apartment_like,Private room,1,1.0,0,1.0,0,1.0,shared,0,0,10,1,1,0,1,0,0,0,0,1,1,0
